# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTZToLLNuNu_M-10, 2017, 1, 4238, 3171492, 606
TTZToLLNuNu_M-10, 2017, 1, 5800, 4340576, 372
TTZToLLNuNu_M-10, 2017, 1, 5801, 4340805, 470
TTZToLLNuNu_M-10, 2017, 1, 5812, 4348572, 344
ZJetsToNuNu_HT-400To600, 2017, 1, 4809, 41451307, 382
TTZToLLNuNu_M-10, 2017, 1, 1274, 953068, 350
TTZToLLNuNu_M-10, 2017, 1, 3775, 2824283, 331
TTZToLLNuNu_M-10, 2017, 1, 3472, 2597826, 623
TTZToLLNuNu_M-10, 2017, 1, 6247, 4674601, 344
TTZToLLNuNu_M-10, 2017, 1, 7798, 5834828, 378
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 70247, 465310759, 319
TTZToLLNuNu_M-10, 2017, 1, 5546, 4150432, 317
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 124943, 821870281, 506
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 73264, 485296620, 322
ST_s-channel_4f_leptonDecays, 2017, 1, 5195, 4278664, 345
TTZToLLNuNu_M-10, 2017, 1, 2683, 2007673, 317
ZJetsToNuNu_HT-400To600, 2017, 1, 7260, 62580079, 320
TTZToLLNuNu_M-10, 2017, 1, 3035, 2270833, 710
TTZToLLNuNu_M-10, 2017, 1, 1258, 940726, 330
TTZToLLNuNu_M-10, 2017, 1, 1705, 1275211, 337
TTZToLLNuNu_M-10, 2017, 1, 139, 103948, 392
ZJetsToNuNu_HT-400To600, 2017, 1, 2753, 23723847, 511
TTZToLLNuNu_M-10, 2017, 1, 673, 503581, 302
TTZToLLNuNu_M-10, 2017, 1, 1670, 1249298, 360
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 74260, 488479764, 314
ST_tW_antitop_5f_NoFullyHadronicDecays, 2017, 1, 5588, 9686425, 578
TTZToLLNuNu_M-10, 2017, 1, 1417, 1060382, 379
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 153306, 1015497517, 324
ST_tW_antitop_5f_NoFullyHadronicDecays, 2017, 1, 2730, 4730926, 305
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 81229, 538055414, 345
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 7404, 48702536, 318
ZJetsToNuNu_HT-600To800, 2017, 1, 5721, 51535118, 461
ZJetsToNuNu_HT-600To800, 2017, 1, 4639, 41784690, 340
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 18494, 122500925, 327
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 72916, 479640486, 322
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 44070, 291916326, 372
WJetsToLNu_HT-800To1200, 2017, 1, 168578, 168577117, 334
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 18771, 123473387, 340
ZJetsToNuNu_HT-600To800, 2017, 1, 2966, 26716793, 636
ZH_HToBB_ZToNuNu_M125, 2017, 1, 11315, 1131433, 583
ZH_HToBB_ZToNuNu_M125, 2017, 1, 3075, 307449, 304
